"registration_day,""payment_day"",""source_id"",""sum_net"""
"2015-10-07,""2015-11-09"",2,4.65"
"2015-11-25,""2015-12-07"",1,14.75"
"2015-07-07,""2015-11-13"",2,4.43"
"2015-06-23,""2015-07-22"",2,6.7"
"2015-10-28,""2015-11-24"",2,10.48"
"2015-08-11,""2015-09-27"",2,17.44"
"2015-06-21,""2015-08-17"",2,-7.04"
"2015-08-16,""2015-11-09"",2,25.01"
"2015-10-01,""2015-10-02"",2,34"
"2015-09-12,""2015-10-29"",2,0.3"
"2015-07-12,""2015-09-01"",2,13.91"
"2015-08-27,""2015-08-30"",2,2.71"
"2015-09-10,""2015-10-15"",2,1.83"
"2015-09-16,""2015-11-15"",1,12.97"
"2015-07-15,""2015-08-25"",2,6.32"
"2015-06-26,""2015-06-29"",2,6.26"
"2015-10-02,""2015-10-18"",1,11.37"
"2015-07-04,""2015-07-11"",2,60.09"
"2015-07-23,""2015-10-16"",2,6.22"
"2015-08-14,""2015-09-20"",2,19.11"
"2015-09-12,""2015-12-04"",2,21.42"
"2015-11-27,""2015-12-04"",2,9.83"
"2015-08-16,""2015-10-24"",2,8.35"
"2015-07-12,""2015-08-16"",2,40.69"
"2015-10-28,""2015-11-08"",2,1.04"
"2015-09-18,""2015-10-19"",2,23.43"
"2015-09-02,""2015-09-22"",1,31.73"
"2015-07-01,""2015-07-02"",2,95.66"
"2015-10-31,""2015-11-17"",2,7.45"
"2015-09-12,""2015-09-27"",2,38.3"
"2015-08-11,""2015-09-11"",2,15.73"
"2015-09-27,""2015-10-07"",1,4.68"
"2015-08-14,""2015-09-04"",2,34.95"
"2015-10-02,""2015-10-02"",1,166.34"
"2015-08-24,""2015-11-29"",2,6.33"
"2015-06-29,""2015-09-06"",2,3.06"
"2015-07-15,""2015-08-09"",2,25.94"
"2015-08-08,""2015-09-02"",2,4.56"
"2015-10-05,""2015-10-11"",1,3.15"
"2015-11-03,""2015-11-10"",2,12.74"
"2015-09-23,""2015-10-18"",2,8.78"
"2015-10-21,""2015-10-31"",1,1.08"
"2015-09-07,""2015-11-15"",2,9.75"
"2015-09-05,""2015-11-02"",1,5.34"
"2015-08-24,""2015-09-22"",2,3.03"
"2015-09-21,""2015-10-05"",1,24.11"
"2015-09-24,""2015-10-14"",1,8.72"
"2015-07-23,""2015-07-24"",2,217"
"2015-07-07,""2015-08-21"",2,11.89"
"2015-11-14,""2015-11-24"",1,1.83"
"2015-10-23,""2015-11-13"",2,13.9"
"2015-11-20,""2015-11-26"",1,41.99"
"2015-10-13,""2015-10-23"",1,15.07"
"2015-10-26,""2015-11-06"",2,42.8"
"2015-07-31,""2015-08-29"",2,2.48"
"2015-10-18,""2015-10-22"",1,6.15"
"2015-11-16,""2015-11-21"",2,9.05"
"2015-10-24,""2015-10-24"",1,306.6"
"2015-09-02,""2015-10-24"",1,5.82"
"2015-07-01,""2015-08-03"",2,3.82"
"2015-10-04,""2015-12-02"",2,4.65"
"2015-11-19,""2015-11-30"",2,7.62"
"2015-07-15,""2015-09-26"",2,7.37"
"2015-10-20,""2015-11-04"",2,14.03"
